,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length
2610,!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,yelp,THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one,owners really really need quit soooooo cheap let wrap freaking sandwich two papers one,21
2611,I checked out this place a couple years ago and was not impressed.,0,yelp,I checked out this place a couple years ago and was not impressed,checked place couple years ago impressed,13
2612,"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,yelp,The chicken I got was definitely reheated and was only ok the wedges were cold and soggy,chicken got definitely reheated ok wedges cold soggy,17
2613,"Sorry, I will not be getting food from here anytime soon :(",0,yelp,Sorry I will not be getting food from here anytime soon ,sorry getting food anytime soon,11
2614,An absolute must visit!,1,yelp,An absolute must visit,absolute must visit,4
2615,The cow tongue and cheek tacos are amazing.,1,yelp,The cow tongue and cheek tacos are amazing,cow tongue cheek tacos amazing,8
2616,My friend did not like his Bloody Mary.,0,yelp,My friend did not like his Bloody Mary,friend like bloody mary,8
2617,"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,yelp,Despite how hard I rate businesses its actually rare for me to give a 1 star,despite hard rate businesses actually rare give 1 star,16
2618,They really want to make your experience a good one.,1,yelp,They really want to make your experience a good one,really want make experience good one,10
2619,I will not return.,0,yelp,I will not return,return,4
2620,I had the chicken Pho and it tasted very bland.,0,yelp,I had the chicken Pho and it tasted very bland,chicken pho tasted bland,10
2621,Very disappointing!!!,0,yelp,Very disappointing,disappointing,2
2622,The grilled chicken was so tender and yellow from the saffron seasoning.,1,yelp,The grilled chicken was so tender and yellow from the saffron seasoning,grilled chicken tender yellow saffron seasoning,12
2623,"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,yelp,a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait,drive thru means want wait around half hour food somehow end going make us wait wait,32
2624,Pretty awesome place.,1,yelp,Pretty awesome place,pretty awesome place,3
2625,Ambience is perfect.,1,yelp,Ambience is perfect,ambience perfect,3
2626,Best of luck to the rude and non-customer service focused new management.,0,yelp,Best of luck to the rude and noncustomer service focused new management,best luck rude noncustomer service focused new management,12
2627,Any grandmother can make a roasted chicken better than this one.,0,yelp,Any grandmother can make a roasted chicken better than this one,grandmother make roasted chicken better one,11
2628,I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,yelp,I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself,asked multiple times wine list time ignored went hostess got one,24
2629,"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,yelp,The staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby,staff always super friendly helpful especially cool bring two small boys baby,21
2630,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,yelp,Four stars for the food  the guy in the blue shirt for his great vibe  still letting us in to eat ,four stars food guy blue shirt great vibe still letting us eat,21
2631,The roast beef sandwich tasted really good!,1,yelp,The roast beef sandwich tasted really good,roast beef sandwich tasted really good,7
2632,"Same evening, him and I are both drastically sick.",0,yelp,Same evening him and I are both drastically sick,evening drastically sick,9
2633,High-quality chicken on the chicken Caesar salad.,1,yelp,Highquality chicken on the chicken Caesar salad,highquality chicken chicken caesar salad,7
2634,Ordered burger rare came in we'll done.,0,yelp,Ordered burger rare came in well done,ordered burger rare came well done,7
2635,We were promptly greeted and seated.,1,yelp,We were promptly greeted and seated,promptly greeted seated,6
2636,Tried to go here for lunch and it was a madhouse.,0,yelp,Tried to go here for lunch and it was a madhouse,tried go lunch madhouse,11
2637,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,yelp,I was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable,proven dead wrong sushi bar quality great service fast food impeccable,25
2638,"After waiting an hour and being seated, I was not in the greatest of moods.",0,yelp,After waiting an hour and being seated I was not in the greatest of moods,waiting hour seated greatest moods,15
2639,This is a good joint.,1,yelp,This is a good joint,good joint,5
2640,The Macarons here are insanely good.,1,yelp,The Macarons here are insanely good,macarons insanely good,6
2641,I'm not eating here!,0,yelp,Im not eating here,im eating,4
2642,"Our waiter was very attentive, friendly, and informative.",1,yelp,Our waiter was very attentive friendly and informative,waiter attentive friendly informative,8
2643,Maybe if they weren't cold they would have been somewhat edible.,0,yelp,Maybe if they werent cold they would have been somewhat edible,maybe werent cold would somewhat edible,11
2644,This place has a lot of promise but fails to deliver.,0,yelp,This place has a lot of promise but fails to deliver,place lot promise fails deliver,11
2645,Very bad Experience!,0,yelp,Very bad Experience,bad experience,3
2646,What a mistake.,0,yelp,What a mistake,mistake,3
2647,Food was average at best.,0,yelp,Food was average at best,food average best,5
2648,Great food.,1,yelp,Great food,great food,2
2649,We won't be going back anytime soon!,0,yelp,We wont be going back anytime soon,wont going back anytime soon,7
2650,Very Very Disappointed ordered the $35 Big Bay Plater.,0,yelp,Very Very Disappointed ordered the 35 Big Bay Plater,disappointed ordered 35 big bay plater,9
2651,Great place to relax and have an awesome burger and beer.,1,yelp,Great place to relax and have an awesome burger and beer,great place relax awesome burger beer,11
2652,It is PERFECT for a sit-down family meal or get together with a few friends.,1,yelp,It is PERFECT for a sitdown family meal or get together with a few friends,perfect sitdown family meal get together friends,15
2653,"Not much flavor to them, and very poorly constructed.",0,yelp,Not much flavor to them and very poorly constructed,much flavor poorly constructed,9
2654,The patio seating was very comfortable.,1,yelp,The patio seating was very comfortable,patio seating comfortable,6
2655,The fried rice was dry as well.,0,yelp,The fried rice was dry as well,fried rice dry well,7
2656,Hands down my favorite Italian restaurant!,1,yelp,Hands down my favorite Italian restaurant,hands favorite italian restaurant,6
2657,"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1,yelp,That just SCREAMS LEGIT in my booksomethats also pretty rare here in Vegas,screams legit booksomethats also pretty rare vegas,13
2658,It was just not a fun experience.,1,yelp,It was just not a fun experience,fun experience,7
2659,The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,yelp,The atmosphere was great with a lovely duo of violinists playing songs we requested,atmosphere great lovely duo violinists playing songs requested,14
2660,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,yelp,I personally love the hummus pita baklava falafels and Baba Ganoush its amazing what they do with eggplant,personally love hummus pita baklava falafels baba ganoush amazing eggplant,18
2661,"Very convenient, since we were staying at the MGM!",1,yelp,Very convenient since we were staying at the MGM,convenient since staying mgm,9
2662,The owners are super friendly and the staff is courteous.,1,yelp,The owners are super friendly and the staff is courteous,owners super friendly staff courteous,10
